SQ_CANDIDATO,AA_ELEICAO,cd_cargo,total_receita,total_despesa,saldo_campanha,n_fontes_receita,n_origens_despesa,despesa_adesivos,despesa_impressos,despesa_pessoal,despesa_tv,despesa_radio,razao_despesa_receita,pct_despesa_marketing,is_prefeito,is_vereador,competitividade,qt_candidato,qt_vagas,qt_eleitores,eleitores_por_candidato,municipio_encoded,prefeito_despesa_adesivos,competitividade_marketing,investimento_por_eleitor,investimento_por_idhm,foco_municipios_desenvolvidos,foco_municipios_carentes,foco_urbano,foco_rural,foco_alta_densidade,foco_baixa_escolaridade,infraestrutura_desenvolvida,municipio_rico,eleito,apoio_politico,aquisicoes_bens,comunicacao_correspondencia,diversos,gestao_administrativa,infraestrutura_basica,materiais_graficos_sonoros,midia_propaganda,mobilizacao_humana,pesquisa_eleitoral,idhm,pib_per_capita,habitantes,total_receitas_brutas_ibge,NR_PARTIDO,QT_VOTOS_NOMINAIS_VALIDOS,eleitores,vagas
220001116706,2020.0,13.0,39080.9,29439.7,9641.2,2.0,10.0,1479.9,1269.0,0.0,0.0,250.0,0.7533014848685675,10.18658478177427,0.0,1.0,9.866666666666667,148.0,15.0,42758.0,288.9054054054054,22,0.0,100.50763651350614,0.688519107535432,20283.9533,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,4600.0,0.0,7000.0,4447.9,2250.0,11141.800000000001,0.0,0,0,0,0,0,0,10000,10
220001137276,2020.0,13.0,1900.0,0.0,1900.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.090909090909092,89.0,11.0,11766.0,132.20224719101122,2,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220001241964,2020.0,13.0,27359.15,20053.15,7306.0,1.0,6.0,2830.0,1980.0,0.0,0.0,0.0,0.73295954004419,23.98625652328936,0.0,1.0,18.529411764705884,315.0,17.0,88732.0,281.68888888888887,23,0.0,444.45122381389103,0.225996821890637,14317.9491,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,914.65,6693.5,7445.0,0.0,5000.0,0.0,0,0,0,0,0,0,10000,10
220001241964,2020.0,13.0,27359.15,20053.15,7306.0,1.0,6.0,2830.0,1980.0,0.0,0.0,0.0,0.73295954004419,23.98625652328936,0.0,1.0,18.529411764705884,315.0,17.0,88732.0,281.68888888888887,23,0.0,444.45122381389103,0.225996821890637,14317.9491,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,914.65,6693.5,7445.0,0.0,5000.0,0.0,0,0,0,0,0,0,10000,10
220001241968,2020.0,13.0,35645.0,24988.08,10656.920000000002,2.0,7.0,8015.0,1520.0,0.0,0.0,1500.0,0.7010262308879226,44.161055991496745,0.0,1.0,18.529411764705884,315.0,17.0,88732.0,281.68888888888887,23,0.0,818.278390430675,0.2816129468511923,17841.489120000002,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,37.2,4501.48,9835.0,5200.0,5414.4,0.0,0,0,0,0,0,0,10000,10
220001241968,2020.0,13.0,35645.0,24988.08,10656.920000000002,2.0,7.0,8015.0,1520.0,0.0,0.0,1500.0,0.7010262308879226,44.161055991496745,0.0,1.0,18.529411764705884,315.0,17.0,88732.0,281.68888888888887,23,0.0,818.278390430675,0.2816129468511923,17841.489120000002,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,37.2,4501.48,9835.0,5200.0,5414.4,0.0,0,0,0,0,0,0,10000,10
220000933194,0.0,0.0,5679.0,3695.0,1984.0,2.0,5.0,780.0,600.0,0.0,0.0,0.0,0.6506427187885191,37.34776725304466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,950.0,1700.0,1045.0,0.0,0,0,0,0,0,0,10000,10
220001064300,2020.0,13.0,5653.0,493.2,5159.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0872457102423491,0.0,0.0,1.0,6.777777777777778,61.0,9.0,8093.0,132.672131147541,1,0.0,0.0,0.0609415544297541,291.9744,0,0,1,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,373.2,120.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220001064301,2020.0,13.0,2853.0,0.0,2853.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.777777777777778,61.0,9.0,8093.0,132.672131147541,1,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
220001199499,2020.0,13.0,2339.3,0.0,2339.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.111111111111111,46.0,9.0,1944.0,42.26086956521739,35,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10000,10
